Data;Vazao
01/01/2013;2098064
01/02/2013;2131560
01/03/2013;2155893
01/04/2013;2148904
01/05/2013;2139178
01/06/2013;2092157
01/07/2013;2000241
01/08/2013;1986054
01/09/2013;2086004
01/10/2013;2002469
01/11/2013;2207489
01/12/2013;2068330
01/01/2014;2213972
01/02/2014;2400832
01/03/2014;2162789
01/04/2014;2182637
01/05/2014;2074590
01/06/2014;2044090
01/07/2014;2058373
01/08/2014;2038225
01/09/2014;2048551
01/10/2014;2074917
01/11/2014;2216076
01/12/2014;2115768
01/01/2015;2223332
01/02/2015;2200935
01/03/2015;2124300
01/04/2015;2096102
01/05/2015;2137916
01/06/2015;2130628
01/07/2015;2001614
01/08/2015;2108760
01/09/2015;2112368
01/10/2015;2061940
01/11/2015;2116044
01/12/2015;2181326
01/01/2016;2259042
01/02/2016;2280324
01/03/2016;2231722
01/04/2016;2231215
01/05/2016;2178884
01/06/2016;2059325
01/07/2016;2076815
01/08/2016;2097688
01/09/2016;2153082
01/10/2016;2130012
01/11/2016;2224171
01/12/2016;2209526
01/01/2017;2345104
01/02/2017;2314853
01/03/2017;2294366
01/04/2017;2154050
01/05/2017;2194208
01/06/2017;2191145
01/07/2017;2212914
01/08/2017;2215803
01/09/2017;2282421
01/10/2017;2244625
01/11/2017;2243165
01/12/2017;2317752
01/01/2018;2332073
01/02/2018;2333264
01/03/2018;2295320
